DATE,TIME,TEMPERATURE,HUMIDITY,PM2.5,PM10,CO2,SO2,NO2,CO,O3,INIT_ERROR,READ_ERROR,RANGE_ERROR,SYS_ERROR,RSSI_BER
2021-5-12,8-23-15,31,76.39,55,66,588,0.203,0.148,3.344,0.376,0,0,0,0,99-99
2021-5-12,8-24-59,31.49,75.2,55,66,679,0.049,0.148,3.499,0.252,0,0,0,11264,31-99
2021-5-12,8-26-42,32.07,73.19,55,66,797,1.036,0.148,4.158,0.218,0,0,0,11264,29-99
2021-5-12,8-28-29,32.69,71.39,55,66,854,0.333,0.145,6.406,0.209,0,0,0,11264,31-99
2021-5-12,8-30-12,33.18,69.86,55,67,880,0.132,0.141,8.683,0.207,0,0,0,11264,26-99
2021-5-12,8-31-58,33.53,69.05,56,67,894,0.074,0.179,7.516,0.062,0,0,0,11264,28-99
2021-5-12,8-33-44,33.86,68.05,56,67,906,0.048,0.129,6.245,0.062,0,0,0,11264,28-99
2021-5-12,8-35-27,34.13,67.27,54,67,916,0.039,0.149,5.157,0.043,0,0,0,11264,28-99
2021-5-12,8-37-13,34.35,66.69,52,65,922,0.013,0.111,4.276,0.029,0,0,0,11264,26-99
2021-5-12,8-38-59,34.62,66.08,53,65,926,0.015,0.066,3.602,0.02,0,0,0,11264,31-99
2021-5-12,8-40-42,34.87,65.41,53,65,933,0.017,0.04,3.093,0.012,0,0,0,11264,29-99
2021-5-12,8-42-26,35.09,64.85,51,63,934,0.02,0.024,2.707,0.009,0,0,0,11264,31-99
2021-5-12,8-44-12,35.21,64.38,51,62,930,0.018,0.014,2.407,0.002,0,0,0,11264,27-99
2021-5-12,8-45-55,35.34,64.05,51,62,918,0.017,0.009,2.205,0.001,0,0,0,11264,29-99
2021-5-12,8-47-40,35.57,63.6,50,62,914,0.014,0.005,2.052,0,0,0,0,11264,29-99
2021-5-12,8-49-23,35.57,63.58,50,62,908,0.012,0.003,1.933,0,0,0,0,11264,29-99
2021-5-12,8-51-6,35.82,63.15,50,62,901,0.011,0.002,1.84,0,0,0,0,11264,26-99
2021-5-12,8-52-49,36.11,62.61,50,61,895,0.011,0.001,1.756,0,0,0,0,11264,28-99
2021-5-12,8-54-33,36.22,62.22,48,60,898,0.008,0.001,1.696,0,0,0,0,11264,26-99
2021-5-12,8-56-19,36.43,62.05,47,59,904,0.009,0,1.626,0,0,0,0,11264,29-99
2021-5-12,8-58-2,36.55,61.41,47,59,912,0.006,0,1.566,0,0,0,0,11264,29-99
2021-5-12,8-59-45,36.57,60.87,47,58,909,0.005,0,1.489,0,0,0,0,11264,29-99
2021-5-12,9-1-28,36.73,60.65,47,58,907,0.005,0,1.426,0,0,0,0,11264,29-99
2021-5-12,9-3-37,37.97,57.45,46,56,588,0.01,0.152,3.731,0.376,0,0,0,0,99-99
2021-5-12,9-5-24,38.45,56.6,45,55,708,0.112,0.152,3.731,0.252,0,0,0,11264,25-99
2021-5-12,9-7-7,38.96,55.16,45,55,782,0.406,0.152,3.665,0.218,0,0,0,11264,28-99
2021-5-12,9-8-53,39.31,54.2,45,55,822,0.118,0.15,3.224,0.23,0,0,0,11264,28-99
2021-5-12,9-10-39,39.58,53.51,45,55,846,0.044,0.146,2.732,0.095,0,0,0,11264,27-99
2021-5-12,9-12-25,39.69,53.14,45,55,864,0.022,0.188,2.363,0.046,0,0,0,11264,26-99
2021-5-12,9-14-11,39.12,54.02,46,56,876,0.017,0.173,1.586,0.023,0,0,0,11264,25-99
2021-5-12,9-18-32,38.01,57.06,47,57,588,0.01,0.153,3.731,0.376,0,0,0,0,99-99
2021-5-12,9-20-19,37.87,57.62,47,57,720,0.006,0.153,3.731,0.252,0,0,0,11264,28-99
2021-5-12,9-22-2,37.81,58.16,48,59,785,0.335,0.153,3.731,0.218,0,0,0,11264,31-99
2021-5-12,9-23-45,37.64,58.75,49,61,823,0.156,0.151,3.821,0.23,0,0,0,11264,30-99
2021-5-12,9-25-28,37.64,59.15,49,61,846,0.1,0.147,3.177,0.091,0,0,0,11264,30-99
2021-5-12,9-27-14,37.63,59.49,49,60,856,0.083,0.164,2.65,0.043,0,0,0,11264,30-99
2021-5-12,9-28-57,37.45,59.97,49,60,862,0.074,0.169,1.775,0.022,0,0,0,11264,30-99
2021-5-12,9-30-43,37.26,60.56,48,59,874,0.07,0.123,1.359,0.008,0,0,0,11264,28-99
2021-5-12,9-32-26,37.28,60.81,48,59,879,0.068,0.146,1.137,0.004,0,0,0,11264,31-99
2021-5-12,9-34-9,37.32,60.78,48,59,885,0.067,0.114,1.184,0.024,0,0,0,11264,28-99
2021-5-12,9-35-56,37.31,60.58,48,58,890,0.063,0.069,1.315,0.02,0,0,0,11264,28-99
2021-5-12,9-37-41,37.27,60.77,49,60,882,0.062,0.041,1.283,0.018,0,0,0,11264,29-99
2021-5-12,9-39-24,37.24,60.81,50,61,873,0.06,0.025,1.27,0.014,0,0,0,11264,28-99
2021-5-12,9-41-10,37.26,60.71,50,61,860,0.056,0.015,1.25,0.013,0,0,0,11264,30-99
2021-5-12,9-42-54,37.3,60.46,48,59,856,0.055,0.009,1.219,0.008,0,0,0,11264,31-99
2021-5-12,9-44-37,37.15,60.59,49,60,849,0.052,0.005,1.168,0.004,0,0,0,11264,29-99
2021-5-12,9-46-20,37.17,60.69,49,60,843,0.05,0.003,1.127,0.002,0,0,0,11264,29-99
